@lat	@lon	addr:street	addr:housenumber	name
50.0148000	19.9317000	Zakopiańska	62	Bankomat BZ WBK
50.0624641	19.9609175	Aleja Powstania Warszawskiego	12	Millennium Bank
50.0624511	19.9608820	Aleja Powstania Warszawskiego	12	Euronet
50.0115000	19.9631000	Wincentego Witosa	7 (ATM 2)	Bankomat Cash4You
50.0977882	19.9593012	Kuźnicy Kołłątajowskiej	13	Lewiatan
50.0978192	19.9591724	Kuźnicy Kołłątajowskiej	13	
50.0628043	19.9401801	Floriańska	17	Euronet
50.0932358	19.9469236	Józefa Mackiewicza	15	Szkoła Podstawowa nr 109 im. Kornela Makuszyńskiego
50.0933437	19.9464121	Józefa Mackiewicza	15	Samorządowe Przedszkole nr 30
50.0511048	19.9915039	Nowohucka	33a	
50.0511973	19.9905331	Nowohucka	33	Hotel Junior Krakus
50.0501991	19.9903488	Koszykarska	33	Unibase prywatny akademik
50.0508237	19.9899640	Nowohucka	35	Hotel Krakus
50.0480520	19.9880415	Księdza Wincentego Turka	17	
50.0454513	20.0001574	Myśliwska	78	UP Kraków 52
50.0609545	20.0244851	Sołtysowska	43a	
50.0610316	20.0244671	Sołtysowska	43	
50.0517752	19.9448173	Plac Nowy	4B	Mini Bar Endzior
50.0511207	19.9469635	Józefa	21	
50.0556639	19.9571231	Semperitowców	5	
50.0556389	19.9572924	Semperitowców	7	
50.0556125	19.9574716	Semperitowców	7a	
50.0559931	19.9572847	Semperitowców	6	
50.0559545	19.9575408	Semperitowców	8	
50.0714350	20.0344589	Aleja Jana Pawła II	232	Max Grill
50.0117535	19.9628779	Wincentego Witosa	7	
50.0576865	19.9491041	Al. Ignacego Daszyńskiego	3	Gemini
50.0072473	20.0120853	Rafała Czerwiakowskiego	6	Za furtką
50.0710226	19.9147948	Aleja Kijowska	10	Hygieia
50.0462364	19.9541481	Plac Bohaterów Getta	18	Apteka Pod Orłem
50.0550985	19.9545950	Masarska	3/8	Germania
50.0507876	19.9474500	Wąska	5	
50.0504314	19.9476088	Wąska	7	
50.0502904	19.9485371	Świętego Wawrzyńca	16	
50.0507998	19.9477080	Wąska	4	
50.0511637	19.9466132	Józefa	30	
50.0512138	19.9468741	Józefa	34	
50.0503570	19.9489875	Świętego Wawrzyńca	18	
50.0657498	19.9447995	Pawia	12/7	Greg & Tom Hostel
